vfdDirAdEc,vfdDiH+AdEc
apAccatuzpAcCakunizvAleKane,apAt+catuzpAcCakunizu+AleKane
gozpadaM sevitAsevitapramARezu,gozpadam+sevitAsevitapramARezu
AspadaM pratizWAyAm,Aspadam+pratizWAyAm
AScaryamanitye,AScaryam+anitye
varcaske'vaskaraH,varcaske+avaskaraH
apaskaro raTANgam,apaskaraH+raTANgam
vizkiraH Sakunirvikaro vA,vizkiraH+SakunO+vA
hrasvAccandrottarapade mantre,hrasvAt+candrottarapade+mantre
pratizkaSaSca kaSeH,pratizkaSaH+ca+kaSeH
praskaRvahariScandrAvfzI,praskaRvahariScandrO+fzI
kAraskaro vfkzaH,kAraskaraH+vfkzaH
anudAttaM padamekavarjam,anudAttam+padam+ekavarjam
karzAtvato GaYo'nta udAttaH,karzAtvataH+GaYaH+antaH+udAttaH
uYCAdInAM ca,uYCAdInAm+ca
anudAttasya ca yatrodAttalopaH,anudAttasya+ca+yatra+udAttalopaH
tisfByo jasaH,tisfByaH+jasaH
sAvekAcastftIyA''diviBaktiH,sO+ekAcaH+tftIyAdiH+viBaktiH
antodattAduttarapadAdanyatarasyAmanityasamAse,antodattAt+uttarapadAt+anyatarasyAm+anityasamAse
aYceSCandasyasarvanAmasTAnam,aYceH+Candasi+asarvanAmasTAnam
azwano dIrGAt,azwanaH+dIrGAt
Saturanumo nadyajAdI,SatuH+anumaH+nadyajAdI
udAttayaRo halpUrvAt,udAttayaRaH+halpUrvAt
noNDAtvoH,naH+UNDAtvoH
nAmanyatarasyAm,nAm+anyatarasyAm
NyASCandasi bahulam,NyAH+Candasi+bahulam
Jalyupottamam,Jali+upottamam
divo Jal,divaH+Jal
nf cAnyatarasyAm,nf+ca+anyatarasyAm
AdiH sico'nyatarasyAm,AdiH+sicaH+anyatarasyAm
svapAdirhiMsAmacyaniwi,svapAdirhiMsAm+aci+aniwi
aByastAnAmAdiH,aByastAnAm+AdiH
BIhrIBfhumadajanaDanadaridrAjAgarAM pratyayAt pUrvam piti,BIhrIBfhumadajanaDanadaridrAjAgarAm+pratyayAt+pUrvam+piti
AdirRamulyanyatarasyAm,AdiH+Ramuli+anyatarasyAm
Tali ca sewIqanto vA,Tali+ca+sewi+iw+antaH+vA
YRityAdirnityam,YRiti+AdiH+nityam
antaSca tavE yugapat,antaH+ca+tavE+yugapat
kzayo nivAse,kzayaH+nivAse
vfzAdInAM ca,vfzAdInAm+ca
saMjYAyAmupamAnam,saMjYAyAm+upamAnam
nityaM mantre,nityam+mantre
yuzmadasmadorNasi,yuzmadasmadoH+Nasi
yato'nAvaH,yataH+anAvaH
IqavandavfSaMsaduhAM RyataH,IqavandavfSaMsaduhAm+RyataH
upottamaM riti,upottamam+riti
caNyanyatarasyAm,caNi+anyatarasyAm
matoH pUrvamAt saMjYAyAM striyAm,matoH+pUrvam+At+saMjYAyAm+striyAm
anto'vatyAH,antaH+avatyAH
varRaH varRezvanete,varRaH+varRezu+anete
dAyAdyaM dAyAde,dAyAdyam+dAyAde
pade'padeSe,pade+apadeSe
aDvaryukazAyayorjAtO,aDvaryukazAyayoH+jAtO
gantavyapaRyaM vARije,gantavyapaRyam+vARije
suKapriyayorhite,suKapriyayoH+hite
svaM svAmini,svam+svAmini
patyAvESvarye,patyO+ESvarye
kumAraSca,kumAraH+ca
pUgezvanyatarasyAm,pUgezu+anyatarasyAm
bahvanyatarasyAm,bahu+anyatarasyAm
dizwivitastyoSca,dizwivitastyoH+ca
saptamI sidDaSuzkapakvabanDezvakAlAt,saptamI+sidDaSuzkapakvabanDezu+akAlAt
rAjanyabahuvacanadvaMdve'nDakavfzRizu,rAjanyabahuvacanadvandve+anDakavfzRizu
AcAryopasarjanaScAntevAsI,AcAryopasarjanaH+ca+antevAsI
kArtakOjapAdayaSca,kArttakOjapAdayaH+ca
kzullakaSca vESvadeve,kzullakaH+ca+vESvadeve
kurugArhapatariktagurvasUtajaratyaSlIladfQarUpApArevaqavAtEtilakadrUHpaRyakambalo dAsIBArARAM ca,kurugArhapata+riktaguru+asUtajarati+yaSlIladfQarUpA+pArevaqavA+tEtilakadrUH+paRyakambalaH+dAsIBArARAm+ca
karmaDAraye'nizWA,karmaDAraye+anizWA
gatiranantaraH,gatiH+anantaraH
tAdO ca niti kftyatO,tAdO+ca+niti+kfti+atO
tavE cAntaSca yugapat,tavE+ca+antaH+ca+yugapat
aniganto'YcatO vapratyaye,anigantaH+aYcatO+vapratyaye
IzadanyatarasyAm,Izat+anyatarasyAm
hiraRyaparimARaM Dane,hiraRyaparimARam+Dane
praTamo'ciropasampattO,praTamaH+aciropasampattO
Aryo brAhmaRakumArayoH,AryaH+brAhmaRakumArayoH
AdirudAttaH,AdiH+udAttaH
saptamIhAriRO Darmye'haraRe,saptamIhAriRO+Darmye+aharaRe
viBAzA'Dyakze,viBAzA+aDyakze
pApaM ca Silpini,pApam+ca+Silpini
BaktAKyAstadarTezu,BaktAKyAH+tadarTezu
gobiqAlasiMhasEnDavezUpamAne,gobiqAlasiMhasEnDavezu+upamAne
prAcAM krIqAyAm,prAcAm+krIqAyAm
Silpini cAkfYaH,Silpini+ca+akfYaH
saMjYAyAM ca,saMjYAyAm+ca
gotantiyavaM pAle,gotantiyavam+pAle
upamAnaM SabdArTaprakftAveva,upamAnam+SabdArTaprakftO+eva
yuktArohyAdayaSca,yuktArohyAdayaH+ca
dIrGakASatuzaBrAzwravawaM je,dIrGakASatuzaBrAzwravawam+je
antyAt pUrvaM bahvacaH,antyAt+pUrvam+bahvacaH
grAme'nivasantaH,grAme+anivasantaH
GozAdizu,GozAdizu+SAlAyAm
prasTe'vfdDamakarkyAdInAm,prasTe+avfdDam+akarkyAdInAm
mAlA''dInAM ca,mAlA''dInAm+ca
amahannavaM nagare'nudIcAm,amahannavam+nagare+anudIcAm
arme cAvarRaM dvyactryac,arme+ca+avarRam+dvyac+tryac
sarvaM guRakArtsnye,sarvam+guRakArtsnye
saMjYAyAM girinikAyayoH,saMjYAyAm+girinikAyayoH
kumAryAM vayasi,kumAryAm+vayasi
udake'kevale,udake+akevale
saBAyAM napuMsake,saBAyAm+napuMsake
kusUlakUpakumBaSAlaM bile,kusUlakUpakumBaSAlam+bile
dikSabdA grAmajanapadAKyAnacAnarAwezu,dikSabdAH+grAmajanapadAKyAnacAnarAwezu
AcAryopasarjanaScAntevAsini,AcAryopasarjanaH+sTAne+surBavatIti
uttarapadavfdDO sarvaM ca,uttarapadavfdDO+sarvam+ca
bahuvrIhO viSvaM saMjYayAm,bahuvrIhO+viSvam+saMjYayAm
nizWopasargapUrvamanyatarasyAm,nizWA+upasargapUrvam+anyatarasyAm
karRo varRalakzaRAt,karRaH+varRalakzaRAt
saMjYOpamyayoSca,saMjYOpamyayoH+ca
kaRWapfzWagrIvAjaMGaM ca,kaRWapfzWagrIvAjaMGam+ca
SfNgamavasTAyAM ca,SfNgam+avasTAyAm+ca
naYo jaramaramitramftAH,naYaH+jaramaramitramftAH
sormanasI alomozasI,soH+manasI+alomozasI
kratvAdayaSca,kratvAdayaH+ca
AdyudAttaM dvyac Candasi,AdyudAttam+dvyac+Candasi
kUlatIratUlamUlaSAlA'kzasamamavyayIBAve,kUlatIratUlamUlaSAlA'kzasamam+avyayIBAve
kaMsamanTaSUrpapAyyakARqaM dvigO,kaMsamanTaSUrpapAyyakARqam+dvigO
tatpuruze SAlAyAM napuMsake,tatpuruze+SAlAyAm+napuMsake
AdiScihaRAdInAm,AdiH+cihaRAdInAm
celaKewakawukakARqaM garhAyAm,celaKewakawukakARqam+garhAyAm
cIramupamAnam,cIram+upamAnam
palalasUpaSAkaM miSre,palalasUpaSAkam+miSre
vargyAdayaSca,vargyAdayaH+ca
putraH puMByaH,putraH+pumByaH
nAcAryarAjartviksaMyuktajYAtyAKyeByaH,na+AcAryarAjartviksaMyuktajYAtyAKyeByaH
cUrRAdInyaprARizazWyAH,cUrRAdIni+aprARizazWyAH
kuRqaM vanam,kuRqam+vanam
SiternityAbahvajbahuvrIhAvaBasat,SiteH+nityAbahvavc+bahuvrIhO+aBasat
gatikArakopapadAt kft,gatikArakopapadAt+kft
uBe vanaspatyAdizu yugapat,uBe+vanaspatyAdizu+yugapat
devatAdvaMdve ca,devatAdvandve+ca
nottarapade'nudAttAdAvapfTivIrudrapUzamanTizu,na+uttarapade+anudAttAdO+apfTivIrudrapUzamanTizu
sUpamAnAt ktaH,sUpamAnAt+ktaH
saMjYAyAmanAcitAdInAm,saMjYAyAm+anAcitAdInAm
pravfdDAdInAM ca,pravfdDAdInAm+ca
kArakAddattaSrutayorevASizi,kArakAt+dattaSrutayoH+eva+ASizi
itTamBUtena kftamiti ca,itTamBUtena+kftam+iti+ca
ano BAvakarmavacanaH,anaH+BAvakarmavacanaH
UnArTakalahaM tftIyAyAH,UnArTakalaham+tftIyAyAH
miSraM cAnupasargamasaMDO,miSram+ca+anupasargam+asanDO
naYo guRapratizeDe sampAdyarhahitAlamarTAstadDitAH,naYaH+guRapratizeDe+sampAdyarhahitAlamarTAH+tadDitAH
yayatoScAtadarTe,yayatoH+ca+atadarTe
ackAvaSaktO,ackO+aSaktO
kftyokezRuccArvAdayaSca,kftyokezRuccArvAdayaH+ca
bahuvrIhAvidametattadByaH praTamapUraRayoH kriyAgaRane,bahuvrIhO+idametattadByaH+praTamapUraRayoH+kriyAgaRane
saMjYAyAM mitrAjinayoH,saMjYAyAm+mitrAjinayoH
vyavAyino'ntaram,vyavAyinaH+antaram
muKaM svANgam,muKam+svANgam
nAvyayadikSabdagomahatsTUlamuzwipfTuvatseByaH,na+avyayadikSabdagomahatsTUlamuzwipfTuvatseByaH
nizWopamAnAdanyatarasyAm,nizWopamAnAt+anyatarasyAm
jAtikAlasuKAdiByo'nAcCAdanAt kto'kftamitapratipannAH,jAtikAlasuKAdiByaH+anAcCAdanAt+ktaH+akftamitapratipannAH
hrasvAnte'ntyAt pUrvam,hrasvAnte+antyAt+pUrvam
bahornaYvaduttarapadaBUmni,bahoH+naYvat+uttarapadaBUmni
na guRAdayo'vayavAH,na+guRAdayaH+avayavAH
upasargAt svANgaM DruvamaparSu,upasargAt+svANgam+Druvam+aparSu
vanaM samAse,vanam+samAse
antaSca,antaH+ca
pareraBitoBAvimaRqalam,pareH+aBitoBAvi+maRqalam
prAdasvANgaM saMjYAyAm,prAt+asvANgam+saMjYAyAm
aBermuKam,aBeH+muKam
apAcca,apAt+ca
sPigapUtavIRA'Yjo'DvakukzisIranAmanAma ca,sPigapUtavIRA'YjoDvakukzisIranAmanAma+ca
aDeruparisTam,aDeH+uparisTam
anorapraDAnakanIyasI,anoH+apraDAnakanIyasI
puruzaScAnvAdizwaH,puruzaH+ca+anvAdizwaH
aterakftpade,ateH+akftpade
neraniDAne,neH+aniDAne
prateraMSvAdayastatpuruze,prateH+aMSvAdayaH+tatpuruze
upAd dvyajajinamagOrAdayaH,upAt+dvyajajinam+agOrAdayaH
soravakzepaRe,soH+avakzepaRe
viBAzotpucCe,viBAzA+utpucCe
dvitriByAM pAddanmUrDasu bahuvrIhO,dvitriByAm+pAddanmUrDasu+bahuvrIhO
sakTaM cAkrAntAt,sakTam+ca+akrAntAt
parAdiSCandasi bahulam,parAdiH+Candasi+bahulam
aluguttarapade,aluk+uttarapade
ojaHsaho'mBastamasaH tftIyAyAH,ojaHsahomBastamasaH+tftIyAyAH
AtmanaSca pUraRe,AtmanaH+ca+pUraRe
vEyAkaraRAKyAyAM caturTyAH,vEyAkaraRAKyAyAm+caturTyAH
haladantAt saptamyAH saMjYAyAm,haladantAt+saptamyAH+saMjYAyAm
kAranAmni ca prAcAM halAdO,kAranAmni+ca+prAcAm+halAdO
maDyAdgurO,maDyAt+gurO
amUrDamastakAt svANgAdakAme,amUrDamastakAt+svANgAt+akAme
prAvfwSaratkAladivAM je,prAvfwSaratkAladivAm+je
viBAzA varzakzaraSaravarAt,viBAzA+varzakzaraSaravarAt
SayavAsavAsizu akAlAt,SayavAsavAsizu+akAlAt
nensidDabaDnAtizu,na+insidDabaDnAtizu
putre'nyatarasyAm,putre+anyatarasyAm
fto vidyAyonisambanDeByaH,ftaH+vidyAyonisambanDeByaH
AnaN fto dvaMdve,AnaN+ftaH+dvandve
devatAdvaMdve ca,devatAdvandve+ca
IdagneH somavaruRayoH,It+agneH+somavaruRayoH
idvfdDO,it+vfdDO
divo dyAvA,divaH+dyAvA
divasaSca pfTivyAm,divasaH+ca+pfTivyAm
uzAsozasaH,uzAsA+uzasaH
mAtarapitarAvudIcAm,mAtarapitarO+udIcAm
pitarAmAtarA ca cCandasi,pitarAmAtarA+ca+Candasi
striyAH puMvadBAzitapuMskAdanUN samAnADikaraRe striyAmapUraRIpriyA''dizu,striyAH+puMvat+BAzitapuMskAdanUN+samAnADikaraRe+striyAm+apUraRIpriyA''dizu
kyaNmAninoSca,kyaNmAninoH+ca
saMjYApUraRyoSca,saMjYApUraRyoH+ca
vfdDinimittasya ca tadDitasyAraktavikAre,vfdDinimittasya+ca+tadDitasya+araktavikAre
svANgAcceto'mAnini,svANgAt+ca+ItaH+amAnini
jAteSca,jAteH+ca
puMvat karmaDArayajAtIyadeSIyezu,puMvat+karmaDArayajAtIyadeSIyezu
GarUpakalpacelaqbruvagotramatahatezu Nyo'nekAco hrasvaH,GarUpakalpacelaqbruvagotramatahatezu+NyaH+anekAcaH+hrasvaH
nadyAH SezasyAnyatarasyAm,nadyAH+Sezasya+anyatarasyAm
ugitaSca,ugitaH+ca
AnmahataH samAnADikaraRajAtIyayoH,At+mahataH+samAnADikaraRajAtIyayoH
dvyazwanaH saMKyAyAmabahuvrIhyaSItyoH,dvyazwanaH+saMKyAyAm+abahuvrIhyaSItyoH
trestrayaH,treH+trayaH
hfdayasya hflleKayadaRlAsezu,hfdayasya+hft+leKayadaRlAsezu
pAdasya padAjyAtigopahatezu,pAdasya+pada+AjyAtigopahatezu
pad yatyatadarTe,pad+yati+atadarTe
udakasyodaH saMjYAyAm,udakasya+udaH+saMjYAyAm
ekahalAdO pUrayitavye'nyatarasyAm,ekahalAdO+pUrayitavye+anyatarasyAm
iko hrasvo'Nyo gAlavasya,ikaH+hrasvaH+aNyaH+gAlavasya
NyApoH saMjYACandasorbahulam,NyApoH+saMjYACandasoH+bahulam
izwakezIkAmAlAnAM citatUlaBArizu,izwakezIkAmAlAnAm+citatUlaBArizu
Kityanavyayasya,Kiti+anavyayasya
ica ekAco'mpratyayavacca,icaH+ekAcaH+am+pratyayavat+ca
nalopo naYaH,nalopaH+naYaH
tasmAnnuqaci,tasmAt+nuw+aci
ekAdiScEkasya cAduk,ekAdiH+ca+ekasya+ca+Aduk
nago'prARizvanyatarasyAm,nagaH+aprARizu+anyatarasyAm
dvitIye cAnupAKye,dvitIye+ca+anupAKye
avyayIBAve cAkAle,avyayIBAve+ca+akAle
vopasarjanasya,vA+upasarjanasya
prakftyA''Sizyagovatsahalezu,prakftyA+ASizi+agovatsahalezu
samAnasya CandasyamUrDapraBftyudarkezu,samAnasya+Candasi+amUrDapraBftyudarkezu
viBAzodare,viBAzA+udare
idaNkimorISkI,idaNkimoH+ISkI
vizvagdevayoSca weradryaYcatO vapratyaye,vizvagdevayoH+ca+weH+adri+aYcatO+vapratyaye
tirasastiryalope,tirasaH+tiri+alope
saDa mAdasTayoSCandasi,saDa+mAdasTayoH+Candasi
dvyantarupasargeByo'pa It,dvyantarupasargeByaH+apaH+It
UdanordeSe,Ut+anoH+deSe
azazWyatftIyAsTasyAnyasya dugASirASA''sTA''sTitotsukotikArakarAgacCezu,azazWyatftIyAsTasya+anyasya+duk+ASIrASA''sTA''sTitotsukotikArakarAgacCezu
koH kat tatpuruze'ci,koH+kat+tatpuruze+aci
raTavadayoSca,raTavadayoH+ca
kavaM cozRe,kavam+ca+uzRe
paTi ca cCandasi,paTi+ca+Candasi
saMKyAvisAyapUrvasyAhnasyAhannanyatarasyAM NO,saMKyAvisAyapUrvasya+ahnasya+ahan+anyatarasyAm+NO
Qralope pUrvasya dIrGo'RaH,Qralope+pUrvasya+dIrGaH+aRaH
sahivahorodavarRasya,sahivahoH+ot+avarRasya
sAQyE sAQvA sAQeti nigame,sAQyE+sAQvA+sAQA+iti+nigame
karRe lakzaRasyAvizwAzwapaYcamaRiBinnaCinnaCidrasruvasvastikasya,karRe+lakzaRasya+avizwAzwapaYcamaRiBinnaCinnaCidrasruvasvastikasya
vanagiryoH saMjYAyAM kowarakiMSulakAdInAm,vanagiryoH+saMjYAyAm+kowarakiMSulakAdInAm
matO bahvaco'najirAdInAm,matO+bahvacaH+anajirAdInAm
SarAdInAM ca,SarAdInAm+ca
upasargasya GaYyamanuzye bahulam,upasargasya+GaYi+amanuzye+bahulam
dasti,daH+ti
mitre carzO,mitre+ca+fzO
ozaDeSca viBaktAvapraTamAyAm,ozaDeH+ca+viBaktO+apraTamAyAm
dvyaco'tastiNaH,dvyacaH+ataH+tiNaH
anyezAmapi dfSyate,anyezAm+api+dfSyate
CandasyuBayaTA,Candasi+uBayaTA
nopaDAyAH,na+upaDAyAH
sarvanAmasTAne cAsambudDO,sarvanAmasTAne+ca+asambudDO
inhanpUzAryamRAM SO,inhanpUzAryamRAm+SO
atvasantasya cADAtoH,atvasantasya+ca+aDAtoH
ajJanagamAM sani,ajJanagamAm+sani
tanoterviBAzA,tanoteH+viBAzA
kramaSca ktvi,kramaH+ca+ktvi
cCvoH SUqanunAsike ca,cCvoH+SUW+anunAsike+ca
jvaratvaraSrivyavimavAmupaDAyASca,jvaratvarasrivyavimavAm+upaDAyAH+ca
rAllopaH,rAt+lopaH
asidDavadatrABAt,asidDavat+atra+A+BAt
SnAnnalopaH,SnAt+nalopaH
aniditAM hala upaDAyAH kNiti,aniditAm+halaH+upaDAyAH+kNiti
danSasaYjasvaYjAM Sapi,danSasaYjasvaYjAm+Sapi
raYjeSca,raYjeH+ca
syado jave,syadaH+jave
nAYceH pUjAyAm,na+aYceH+pUjAyAm
jAntanaSAM viBAzA,jAntanaSAm+viBAzA
BaYjeSca ciRi,BaYjeH+ca+ciRi
SAsa idaNhaloH,SAsaH+it+aNhaloH
hanterjaH,hanteH+jaH
anudAttopadeSavanatitanotyAdInAmanunAsikalopo Jali kNiti,anudAttopadeSavanatitanotyAdInAm+anunAsika+lopaH+Jali+kNiti
na ktici dIrGaSca,na+ktici+dIrGaH+ca
viqvanoranunAsikasyAt,viqvanoH+anunAsikasya+At
janasanaKanAM saYJaloH,janasanaKanAm+saYJaloH
tanoteryaki,tanoteH+yaki
sanaH ktici lopaScAsyAnyatarasyAm,sanaH+ktici+lopaH+ca+asya+anyatarasyAm
Brasjo ropaDayoH ramanyatarasyAm,BrasjaH+ropaDayoH+ram+anyatarasyAm
ato lopaH,ataH+lopaH
Reraniwi,ReH+aniwi
nizWAyAM sewi,nizWAyAm+sewi
ayAmantAlvAyyetnvizRuzu,ay+AmantAlvAyyetnvizRuzu
lyapi laGupUrvAt,lyapi+laGupUrvAt
viBAzA''paH,viBAzA+ApaH
yupluvordIrGaSCandasi,yupluvoH+dIrGaH+Candasi
nizWAyAM aRyadarTe,nizWAyAm+aRyadarTe
vA''kroSadEnyayoH,vA+AkroSadEnyayoH
syasicsIyuwtAsizu BAvakarmaRorupadeSe'jJanagrahadfSAM vA ciRvadiw ca,syasicsIyuwtAsizu+BAvakarmmaRoH+upadeSe+ajJanagrahadfSAm+vA+ciRvat+iw+ca
dINo yuqaci kNiti,dINaH+yuw+aci+kNiti
Ato lopa iwi ca,AtaH+lopa+iwi+ca
Idyati,It+yati
GumAsTAgApAjahAtisAM hali,GumAsTAgApAjahAtisAm+hali
erliNi,eH+liNi
vA'nyasya saMyogAdeH,vA+anyasya+saMyogAdeH
mayateridanyatarasyAm,mayateH+it+anyatarasyAm
luNlaNlfNkzvaqudAttaH,luNlaNlfNkzv+aw+udAttaH
AqajAdInAm,Aw+ajAdInAm
Candasyapi dfSyate,Candasi+api+dfSyate
bahulaM CandasyamANyoge'pi,bahulam+Candasi+amANyoge+api
irayo re,irayoH+re
aci SnuDAtuBruvAM yvoriyaNuvaNO,aci+SnuDAtuBruvAm+yvoH+iyaNuvaNO
aByAsasyAsavarRe,aByAsasya+AsavarRe
vA'mSasoH,vA+amSasoH
iRo yaR,iRaH+yaR
eranekAco'saMyogapUrvasya,eH+anekAcaH+asaMyogapUrvasya
varzABvaSca,varzABvaH+ca
CandasyuBayaTA,Candasi+uBayaTA
Buvo vugluNliwoH,BuvaH+vuk+luNliwoH
UdupaDAyA gohaH,Ut+upaDAyAH+gohaH
dozo RO,dozaH+RO
mitAM hrasvaH,mitAm+hrasvaH
ciRRamulordIrGo'nyatarasyAm,ciRRamuloH+dIrGaH+anyatarasyAm
hlAdo nizWAyAm,hlAdaH+nizWAyAm
CAderGe'dvyupasargasya,CAdeH+Ge+advyupasargasya
gamahanajanaKanaGasAM lopaH kNityanaNi,gamahanajanaKanaGasAm+lopaH+kNiti+anaNi
tanipatyoSCandasi,tanipatyoH+Candasi
GasiBasorhali ca,GasiBasoH+hali+ca
huJalByo herDiH,huJalByaH+heH+DiH
SruSfRupFkfvfByaSCandasi,SruSfRupFkfvfByaH+Candasi
aNitaSca,aNitaH+ca
ciRo luk,ciRaH+luk
ato heH,ataH+heH
utaSca pratyayAdasaMyogapUrvAt,utaH+ca+pratyayAt+asaMyogapUrvAt
lopaScAsyAnyatarasyAM mvoH,lopaH+ca+asya+anyatarasyAm+mvoH
nityaM karoteH,nityam+karoteH
ata ut sArvaDAtuke,ataH+ut+sArvaDAtuke
SnasorallopaH,SnasoH+allopaH
SnA'ByastayorAtaH,SnA'ByastayoH+AtaH
I halyaGoH,I+hali+aGoH
iddaridrasya,it+daridrasya
Biyo'nyatarasyAm,BiyaH+anyatarasyAm
jahAteSca,jahAteH+ca
lopo yi,lopaH+yi
GvasoredDAvaByAsalopaSca,GvasoH+et+hO+aByAsalopaH+ca
ata ekahalmaDye'nAdeSAderliwi,ataH+ekahalmaDye+anAdeSAdeH+liwi
tFPalaBajatrapaSca,tFPalaBajatrapaH+ca
rADo hiMsAyAm,rADaH+hiMsAyAm
PaRAM ca saptAnAm,PaRAm+ca+saptAnAm
arvaRastrasAvanaYaH,arvaRaH+tf+asO+avanaYaH
vAha UW,vAhaH+UW
SvayuvamaGonAmatadDite,SvayuvamaGonAm+atadDite
allopo'naH,allopaH+anaH
zapUrvahanDftarAjYAmaRi,zapUrvahanDftarAjYAm+aRi
na saMyogAdvamantAt,na+saMyogAt+vamAntAt
uda It,udaH+It
Ato DAtoH,AtaH+DAtoH
mantrezvANyAderAtmanaH,mantrezu+ANi+AdeH+AtmanaH
ti viMSaterqiti,ti+viMSateH+qiti
nastadDite,naH+tadDite
ahnazwaKoreva,ahnaH+waKoH+eva
orguRaH,oH+guRaH
Qe lopo'kadrvAH,Qe+lopaH+akadrvAH
yasyeti ca,yasya+Iti+ca
sUryatizyAgastyamatsyAnAM ya upaDAyAH,sUryatizyAgastyamatsyAnAm+yaH+upaDAyAH
halastadDitasya,halaH+tadDitasya
Apatyasya ca tadDite'nAti,Apatyasya+ca+tadDite+anAti
kyacvyoSca,kyacvyoH+ca
bilvakAdiByaSCasya luk,bilvakAdiByaH+Casya+luk
turizWemeyassu,tuH+izWemeyassu
sTUladUrayuvahrasvakziprakzudrARAM yaRAdiparaM pUrvasya ca guRaH,sTUladUrayuvahrasvakziprakzudrARAm+yaRAdiparam+pUrvasya+ca+guRaH
priyasTirasPirorubahulaguruvfdDatfpradIrGavfndArakARAM prasTasPavarbaMhigarvarzitrabdrAGivfndAH,priyasTirasPirorubahulaguruvfdDatfpradIrGavfndArakARAm+prasTasPavarbaMhigarvarzitrabdrAGivfndAH
bahorlopo BU ca bahoH,bahoH+lopaH+BU+ca+bahoH
jyAdAdIyasaH,jyAt+At+IyasaH
ra fto halAderlaGoH,raH+ftaH+halAdeH+laGoH
viBAzarjoSCandasi,viBAzA+fjoH+Candasi
prakftyEkAc,prakftyA+ekAc
inaRyanapatye,in+aRi+anapatye
gATividaTikeSigaRipaRinaSca,gATividaTikeSigaRipaRinaH+ca
saMyogAdiSca,saMyogAdiH+ca
ye cABAvakarmaRoH,ye+ca+aBAvakarmaRoH
na mapUrvo'patye'varmaRaH,na+mapUrvaH+apatye+avarmaRaH
brAhmoajAtO,brAhmaH+ajAtO
kArmastAcCIlye,kArmmaH+tAcCIlye
Okzamanapatye,Okzam+anapatye
ftvyavAstvyavAstvamADvIhiraRyayAni cCandasi,ftvyavAstvyavAstvamADvIhiraRyayAni+Candasi
yuvoranAkO,yuvoH+anAkO
AyaneyInIyiyaH PaQaKacCaGAM pratyayAdInAm,AyaneyInIyiyaH+PaQaKaCaGAm+pratyayAdInAm
Jo'ntaH,JaH+antaH
adaByastAt,at+aByastAt
AtmanepadezvanataH,Atmanepadezu+anataH
SINo ruw,SINaH+ruw
vetterviBAzA,vetteH+viBAzA
bahulaM Candasi,bahulam+Candasi
ato Bisa Es,ataH+Bisa+Es
bahulaM Candasi,bahulam+Candasi
nedamadasorakoH,na+idamadasoH+akoH
wANasiNasAminAtsyAH,wANasiNasAm+inAtsyAH
NeryaH,NeH+yaH
pUrvAdiByo navaByo vA,pUrvAdiByaH+navaByaH+vA
ONa ApaH,ONaH+ApaH
napuMsakAcca,napuMsakAt+ca
azwABya OS,azwAByaH+OS
zaqByo luk,zaqByaH+luk
svamornapuMsakAt,svamoH+napuMsakAt
ato'm,ataH+am
netarAcCandasi,na+itarAt+Candasi
yuzmadasmadByAM Naso'S,yuzmadasmadByAm+NasaH+aS
Saso na,SasaH+na
Byaso Byam,ByasaH+Byam
paYcamyA at,paYcamyAH+at
sAma Akam,sAmaH+Akam
Ata O RalaH,AtaH+O+RalaH
tuhyostAtaNASizyanyatarasyAm,tuhyoH+tAtaN+ASizi+anyatarasyAm
videH SaturvasuH,videH+SatuH+vasuH
samAse'naYpUrve ktvo lyap,samAse+anaYpUrve+ktvaH+lyap
ktvA'pi Candasi,ktvA+api+Candasi
supAM sulukpUrvasavarRA''cCeyAqAqyAyAjAlaH,supAm+sulukpUrvasavarRA''cCeyAqAqyAyAjAlaH
amo maS,amaH+maS
lopasta Atmanepadezu,lopaH+taH+Atmanepadezu
Dvamo DvAt,DvamaH+DvAt
yajaDvEnamiti ca,yajaDvEnam+iti+ca
tasya tAt,tasya+tAt
taptanaptanaTanASca,taptanaptanaTanAH+ca
idanto masi,idantaH+masi
ktvo yak,ktvaH+yak
izwvInamiti ca,izwvInam+iti+ca
snAtvyAdayaSca,snAtvyAdayaH+ca
Ajjaserasuk,At+jaseH+asuk
aSvakzIravfzalavaRAnAmAtmaprItO kyaci,aSvakzIravfzalavaRAnAm+AtmaprItO+kyaci
trestrayaH,treH+trayaH
hrasvanadyApo nuw,hrasvanadyApaH+nuw
zawcaturByaSca,zawcaturByaH+ca
SrIgrAmaRyoSCandasi,SrIgrAmaRyoH+Candasi
idito num DAtoH,iditaH+num+DAtoH
masjinaSorJali,masjinaSoH+Jali
raDijaBoraci,raDijaBoH+aci
newyaliwi raDeH,na+iwi+aliwi+raDeH
raBeraSabliwoH,raBeH+aSabliwoH
laBeSca,laBeH+ca
ANo yi,ANaH+yi
upAt praSaMsAyAm,upAt+praSaMsAyAm
upasargAt KalGaYoH,upasargAt+KalGaYoH
na sudurByAM kevalAByAm,na+sudurByAm+kevalAByAm
ugidacAM sarvanAmasTAne'DAtoH,ugidacAm+sarvanAmasTAne+aDAtoH
yujerasamAse,yujeH+asamAse
iko'ci viBaktO,ikaH+aci+viBaktO
tftIyA''dizu BAzitapuMskaM puMvadgAlavasya,tftIyA''dizu+BAzitapuMskam+puMvat+gAlavasya
asTidaDisakTyakzRAmanaNudAttaH,asTidaDisakTyakzRAm+anaN+udAttaH
